,amount,context_ref,decimals,element_id,unit_ref
127,5.00,Prior3YearDuration_NonConsolidatedMember,2,jpcrp_cor_dividendpaidpersharesummaryofbusinessresults,JPYPerShares
128,5.00,Prior2YearDuration_NonConsolidatedMember,2,jpcrp_cor_dividendpaidpersharesummaryofbusinessresults,JPYPerShares
129,5.00,Prior1YearDuration_NonConsolidatedMember,2,jpcrp_cor_dividendpaidpersharesummaryofbusinessresults,JPYPerShares
130,5.00,CurrentYearDuration_NonConsolidatedMember,2,jpcrp_cor_dividendpaidpersharesummaryofbusinessresults,JPYPerShares
131,10.54,Prior4YearDuration_NonConsolidatedMember,2,jpcrp_cor_basicearningslosspersharesummaryofbusinessresults,JPYPerShares
132,6.69,Prior3YearDuration_NonConsolidatedMember,2,jpcrp_cor_basicearningslosspersharesummaryofbusinessresults,JPYPerShares
133,6.40,Prior2YearDuration_NonConsolidatedMember,2,jpcrp_cor_basicearningslosspersharesummaryofbusinessresults,JPYPerShares
134,7.68,Prior1YearDuration_NonConsolidatedMember,2,jpcrp_cor_basicearningslosspersharesummaryofbusinessresults,JPYPerShares
135,17.20,CurrentYearDuration_NonConsolidatedMember,2,jpcrp_cor_basicearningslosspersharesummaryofbusinessresults,JPYPerShares
136,16.77,CurrentYearDuration_NonConsolidatedMember,0,jpcrp_cor_dilutedearningspersharesummaryofbusinessresults,JPYPerShares
137,0.270,Prior4YearInstant_NonConsolidatedMember,3,jpcrp_cor_equitytoassetratiosummaryofbusinessresults,pure
138,0.218,Prior3YearInstant_NonConsolidatedMember,3,jpcrp_cor_equitytoassetratiosummaryofbusinessresults,pure
139,0.194,Prior2YearInstant_NonConsolidatedMember,3,jpcrp_cor_equitytoassetratiosummaryofbusinessresults,pure
140,0.210,Prior1YearInstant_NonConsolidatedMember,3,jpcrp_cor_equitytoassetratiosummaryofbusinessresults,pure
141,0.230,CurrentYearInstant_NonConsolidatedMember,3,jpcrp_cor_equitytoassetratiosummaryofbusinessresults,pure
142,0.082,Prior4YearDuration_NonConsolidatedMember,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
143,0.051,Prior3YearDuration_NonConsolidatedMember,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
144,0.049,Prior2YearDuration_NonConsolidatedMember,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
145,0.056,Prior1YearDuration_NonConsolidatedMember,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
146,0.117,CurrentYearDuration_NonConsolidatedMember,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
147,18.9,Prior4YearDuration_NonConsolidatedMember,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
148,26.3,Prior3YearDuration_NonConsolidatedMember,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
149,30.9,Prior2YearDuration_NonConsolidatedMember,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
150,27.5,Prior1YearDuration_NonConsolidatedMember,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
151,15.2,CurrentYearDuration_NonConsolidatedMember,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
152,0.474,Prior4YearDuration_NonConsolidatedMember,3,jpcrp_cor_payoutratiosummaryofbusinessresults,pure
153,0.747,Prior3YearDuration_NonConsolidatedMember,3,jpcrp_cor_payoutratiosummaryofbusinessresults,pure
154,0.781,Prior2YearDuration_NonConsolidatedMember,3,jpcrp_cor_payoutratiosummaryofbusinessresults,pure
155,0.651,Prior1YearDuration_NonConsolidatedMember,3,jpcrp_cor_payoutratiosummaryofbusinessresults,pure
156,0.291,CurrentYearDuration_NonConsolidatedMember,3,jpcrp_cor_payoutratiosummaryofbusinessresults,pure
157,531,Prior4YearInstant_NonConsolidatedMember,0,jpcrp_cor_numberofemployees,pure
158,533,Prior3YearInstant_NonConsolidatedMember,0,jpcrp_cor_numberofemployees,pure
159,534,Prior2YearInstant_NonConsolidatedMember,0,jpcrp_cor_numberofemployees,pure
160,550,Prior1YearInstant_NonConsolidatedMember,0,jpcrp_cor_numberofemployees,pure
161,564,CurrentYearInstant_NonConsolidatedMember,0,jpcrp_cor_numberofemployees,pure
162,93,Prior4YearInstant_NonConsolidatedMember,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
163,89,Prior3YearInstant_NonConsolidatedMember,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
164,90,Prior2YearInstant_NonConsolidatedMember,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
165,91,Prior1YearInstant_NonConsolidatedMember,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
166,87,CurrentYearInstant_NonConsolidatedMember,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
167,6479000,CurrentYearInstant_No1MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
168,0.0592,CurrentYearInstant_No1MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
169,5234000,CurrentYearInstant_No2MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
170,0.0478,CurrentYearInstant_No2MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
171,4501000,CurrentYearInstant_No3MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
172,0.0411,CurrentYearInstant_No3MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
173,4450000,CurrentYearInstant_No4MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
174,0.0407,CurrentYearInstant_No4MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
175,3150000,CurrentYearInstant_No5MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
176,0.0288,CurrentYearInstant_No5MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
177,2245000,CurrentYearInstant_No6MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
178,0.0205,CurrentYearInstant_No6MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
179,2100000,CurrentYearInstant_No7MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
180,0.0192,CurrentYearInstant_No7MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
181,1672000,CurrentYearInstant_No8MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
182,0.0153,CurrentYearInstant_No8MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
