,element_id,href,label_role,label_string,lang
20,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedduetolackofmaterialitynotesrealestateforleaseetcconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedDueToLackOfMaterialityNotesRealEstateForLeaseEtcConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/verboseLabel,重要性が乏しいため省略している旨、賃貸等不動産関係、連結財務諸表[テキストブロック],ja
21,jpcrp030000-asr_e00012-000_descriptionoffactthatfinancialstatementshavebeenpreparedinaccordancewithspecialprovisionfinancialinformation,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatFinancialStatementsHaveBeenPreparedInAccordanceWithSpecialProvisionFinancialInformation,http://www.xbrl.org/2003/role/label,特例財務諸表を作成する場合の記載,ja
22,jpcrp030000-asr_e00012-000_descriptionoffactthatfinancialstatementshavebeenpreparedinaccordancewithspecialprovisionfinancialinformation,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatFinancialStatementsHaveBeenPreparedInAccordanceWithSpecialProvisionFinancialInformation,http://www.xbrl.org/2003/role/verboseLabel,特例財務諸表を作成する場合の記載、経理の状況,ja
23,jpcrp030000-asr_e00012-000_frozenfoodsbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_FrozenFoodsBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/label,冷凍食品,ja
24,jpcrp030000-asr_e00012-000_frozenfoodsbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_FrozenFoodsBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/verboseLabel,冷凍食品、報告セグメント [メンバー],ja
25,jpcrp030000-asr_e00012-000_increasedecreaseinnetdefineedbenefitliabilityopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_IncreaseDecreaseInNetDefineedBenefitLiabilityOpeCF,http://www.xbrl.org/2003/role/label,退職給付に係る負債の増減額（△は減少）,ja
26,jpcrp030000-asr_e00012-000_increasedecreaseinnetdefineedbenefitliabilityopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_IncreaseDecreaseInNetDefineedBenefitLiabilityOpeCF,http://www.xbrl.org/2003/role/verboseLabel,退職給付に係る負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,ja
27,jpcrp030000-asr_e00012-000_increasedecreaseinnetdefineedbenefitliabilityopecf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_IncreaseDecreaseInNetDefineedBenefitLiabilityOpeCF,http://www.xbrl.org/2003/role/documentation,退職給付に係る負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,ja
28,jpcrp030000-asr_e00012-000_logisticsbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_LogisticsBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/label,物流サービス,ja
29,jpcrp030000-asr_e00012-000_logisticsbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_LogisticsBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/verboseLabel,物流サービス、報告セグメント [メンバー],ja
30,jpcrp030000-asr_e00012-000_majorcomponentsofassetsandliabilitiesofconsolidatedsubsidiarydisposedofbymergerduringreportingperiodtextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_MajorComponentsOfAssetsAndLiabilitiesOfConsolidatedSubsidiaryDisposedOfByMergerDuringReportingPeriodTextBlock,http://www.xbrl.org/2003/role/label,合併により連結子会社でなくなった会社がある場合には、当該会社の資産及び負債の主な内訳,ja
31,jpcrp030000-asr_e00012-000_majorcomponentsofassetsandliabilitiesofconsolidatedsubsidiarydisposedofbymergerduringreportingperiodtextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_MajorComponentsOfAssetsAndLiabilitiesOfConsolidatedSubsidiaryDisposedOfByMergerDuringReportingPeriodTextBlock,http://www.xbrl.org/2003/role/verboseLabel,合併により連結子会社でなくなった会社がある場合には、当該会社の資産及び負債の主な内訳 [テキストブロック],ja
32,jpcrp030000-asr_e00012-000_marineproductspurchasingbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_MarineProductsPurchasingBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/label,水産商事,ja
33,jpcrp030000-asr_e00012-000_marineproductspurchasingbusinessreportablesegmentsmember,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_MarineProductsPurchasingBusinessReportableSegmentsMember,http://www.xbrl.org/2003/role/verboseLabel,水産商事、報告セグメント [メンバー],ja
34,jpcrp030000-asr_e00012-000_notesregardingtotalamountofoperatingtransactionsfromortoaffiliatedentitiesandtotalamountofnonoperatingtransactionsfromortoaffiliatedentitiestextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_NotesRegardingTotalAmountOfOperatingTransactionsFromOrToAffiliatedEntitiesAndTotalAmountOfNonOperatingTransactionsFromOrToAffiliatedEntitiesTextBlock,http://www.xbrl.org/2003/role/label,関係会社との営業取引による取引高の総額及び営業取引以外の取引による取引高の総額の注記,ja
35,jpcrp030000-asr_e00012-000_notesregardingtotalamountofoperatingtransactionsfromortoaffiliatedentitiesandtotalamountofnonoperatingtransactionsfromortoaffiliatedentitiestextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_NotesRegardingTotalAmountOfOperatingTransactionsFromOrToAffiliatedEntitiesAndTotalAmountOfNonOperatingTransactionsFromOrToAffiliatedEntitiesTextBlock,http://www.xbrl.org/2003/role/verboseLabel,関係会社との営業取引による取引高の総額及び営業取引以外の取引による取引高の総額の注記[テキストブロック],ja
36,jpcrp030000-asr_e00012-000_notesshareoptionsetcconsolidatedfinancialstatementsnatextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_NotesShareOptionsEtcConsolidatedFinancialStatementsNATextBlock,http://www.xbrl.org/2003/role/label,ストック・オプション等関係（該当なし）,ja
37,jpcrp030000-asr_e00012-000_notesshareoptionsetcconsolidatedfinancialstatementsnatextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_NotesShareOptionsEtcConsolidatedFinancialStatementsNATextBlock,http://www.xbrl.org/2003/role/verboseLabel,ストック・オプション等関係、連結財務諸表（該当なし）[テキストブロック],ja
38,jpcrp030000-asr_e00012-000_officestaffpayrollsandallowancesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_OfficeStaffPayrollsAndAllowancesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/label,事務員給与手当,ja
39,jpcrp030000-asr_e00012-000_officestaffpayrollsandallowancesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_OfficeStaffPayrollsAndAllowancesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/verboseLabel,事務員給与手当、一般管理費,ja
40,jpcrp030000-asr_e00012-000_provisionforbonusesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_ProvisionForBonusesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/label,賞与引当金繰入額,ja
41,jpcrp030000-asr_e00012-000_provisionforbonusesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_ProvisionForBonusesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/verboseLabel,賞与引当金繰入額、一般管理費,ja
42,jpcrp030000-asr_e00012-000_retirementbenefitexpensesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_RetirementBenefitExpensesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/label,退職給付費用,ja
43,jpcrp030000-asr_e00012-000_retirementbenefitexpensesgeneralandadministrativeexpenses,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_RetirementBenefitExpensesGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/role/verboseLabel,退職給付費用、一般管理費,ja
44,jpcrp030000-asr_e00012-000_salariesandallowancesforsalesassociatesandofficeclerkssga,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_SalariesAndAllowancesForSalesAssociatesAndOfficeClerksSGA,http://www.xbrl.org/2003/role/label,販売員・事務員給与手当,ja
